_id,title,URLs,Working Link,Old Links
bioportal-cogpo,Cognitive Paradigm Ontology,https://lod-cloud.net/dataset/bioportal-cogpo,https://bioportal.bioontology.org/ontologies/COGPO,http://bioportal.bioontology.org/ontologies/1560
bioportal-acgt,Cancer Research and Management ACGT Master Ontology,https://lod-cloud.net/dataset/bioportal-acgt,https://bioportal.bioontology.org/ontologies/ACGT,http://bioportal.bioontology.org/ontologies/1130
bioportal-aero,Adverse Event Reporting ontology,https://lod-cloud.net/dataset/bioportal-aero,https://bioportal.bioontology.org/ontologies/AERO,
bioportal-bao,BioAssay Ontology,https://lod-cloud.net/dataset/bioportal-bao,https://bioportal.bioontology.org/ontologies/BAO,http://bioportal.bioontology.org/ontologies/1533
bioportal-bdo,Bone Dysplasia Ontology,https://lod-cloud.net/dataset/bioportal-bdo,https://bioportal.bioontology.org/ontologies/BDO,http://bioportal.bioontology.org/ontologies/1613
bioportal-bfo,Basic Formal Ontology,https://lod-cloud.net/dataset/bioportal-bfo,https://bioportal.bioontology.org/ontologies/BFO,http://bioportal.bioontology.org/ontologies/1332
bioportal-birnlex,BIRNLex,https://lod-cloud.net/dataset/bioportal-birnlex,https://bioportal.bioontology.org/ontologies/BIRNLEX,
bioportal-canco,Cancer Chemoprevention Ontology,https://lod-cloud.net/dataset/bioportal-canco,https://bioportal.bioontology.org/ontologies/CANCO,http://bioportal.bioontology.org/ontologies/3030
bioportal-cao,CAO,https://lod-cloud.net/dataset/bioportal-cao,https://bioportal.bioontology.org/ontologies/CAO,http://bioportal.bioontology.org/ontologies/1582
bioportal-cheminf,Chemical Information Ontology,https://lod-cloud.net/dataset/bioportal-cheminf,https://bioportal.bioontology.org/ontologies/CHEMINF,
bioportal-clo,Cell Line ontology,https://lod-cloud.net/dataset/bioportal-cl,https://bioportal.bioontology.org/ontologies/CL,
bioportal-csp,"CRISP Thesaurus, 2006",https://lod-cloud.net/dataset/bioportal-csp,https://bioportal.bioontology.org/ontologies/CRISP,http://bioportal.bioontology.org/ontologies/1526
