Acronym,Name,Download_Link
UCVA,Unwarranted Clinical Variation Analysis With Contextual Factors,https://data.bioontology.org/ontologies/UCVA/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
JSO,JS Ontology,https://data.bioontology.org/ontologies/JSO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
MIRAPIE,MInimal Requirements for Automated Provenance Information Enrichment in biomedical research,https://data.bioontology.org/ontologies/MIRAPIE/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
PGHDPROV,Context and Provenance Based Standardized Patient Generated Health Data Shared with an Electronic Health Record,https://data.bioontology.org/ontologies/PGHDPROV/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
KOIO,Knowledge Object Implementation Ontology,https://data.bioontology.org/ontologies/KOIO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
DATAHUB,RADx Data Hub Ontology,https://data.bioontology.org/ontologies/DATAHUB/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
PICO,Pathogen-related Informed Consent Ontology,https://data.bioontology.org/ontologies/PICO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
GENEVIEVE,Charlotte,https://data.bioontology.org/ontologies/GENEVIEVE/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
GDCO,Data Collection Ontology,https://data.bioontology.org/ontologies/GDCO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
FOAF,Friend of a Friend Vocabulary,https://data.bioontology.org/ontologies/FOAF/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
OLATDV,Medaka Developmental Stages,https://data.bioontology.org/ontologies/OLATDV/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
TM-OTHER-FACTORS,Traditional Medicine Other Factors Value Set,https://data.bioontology.org/ontologies/TM-OTHER-FACTORS/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
RDAO,Rare Diseases Awareness Ontology,https://data.bioontology.org/ontologies/RDAO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
HFO,Heart Failure Ontology,https://data.bioontology.org/ontologies/HFO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
GFVO,Genomic Feature and Variation Ontology,https://data.bioontology.org/ontologies/GFVO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
G4-DSIP,Group 4-Data Science in Practice,https://data.bioontology.org/ontologies/G4-DSIP/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
FISHO,Fish Ontology,https://data.bioontology.org/ontologies/FISHO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
SIMON,Simple Measurement Ontology,https://data.bioontology.org/ontologies/SIMON/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ADW,Animal Natural History and Life History Ontology,https://data.bioontology.org/ontologies/ADW/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
INJURYTYPES,Injury Types,https://data.bioontology.org/ontologies/INJURYTYPES/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
CST,Cancer Staging Terms,https://data.bioontology.org/ontologies/CST/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
CSTD,Clinical smell and taste disorders,https://data.bioontology.org/ontologies/CSTD/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
COLAO,Coleoptera Anatomy Ontology,https://data.bioontology.org/ontologies/COLAO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
GALLONT,Plant Gall Ontology,https://data.bioontology.org/ontologies/GALLONT/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
VIMM,In Vitro Methodologies Ontology for MAATrica metric,https://data.bioontology.org/ontologies/VIMM/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ONTOPBM,Ontology for Process-Based Modeling of Dynamical Systems (OntoPBM),https://data.bioontology.org/ontologies/ONTOPBM/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
MEDDRA,Medical Dictionary for Regulatory Activities Terminology (MedDRA),https://data.bioontology.org/ontologies/MEDDRA/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
OGSF,Ontology for Genetic Susceptibility Factor,https://data.bioontology.org/ontologies/OGSF/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ICD11-BODYSYSTEM,Body System Terms from ICD11,https://data.bioontology.org/ontologies/ICD11-BODYSYSTEM/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
VODANADISEASES,VODANADiseases,https://data.bioontology.org/ontologies/VODANADISEASES/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
CNO,Computational Neuroscience Ontology,https://data.bioontology.org/ontologies/CNO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
SLSO,Space Life Sciences Ontology,https://data.bioontology.org/ontologies/SLSO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
COSTART,Coding Symbols for a Thesaurus of Adverse Reaction Terms,https://data.bioontology.org/ontologies/COSTART/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ISO19115MI,ISO 19115 Metadata Information,https://data.bioontology.org/ontologies/ISO19115MI/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
BIM,Biomedical Image Ontology,https://data.bioontology.org/ontologies/BIM/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
MCBCC,Breast Tissue Cell Lines Ontology,https://data.bioontology.org/ontologies/MCBCC/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
HMIS033B,HMIS 033,https://data.bioontology.org/ontologies/HMIS033B/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
RDA-ISSUANCE,RDA Mode of Issuance,https://data.bioontology.org/ontologies/RDA-ISSUANCE/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
TYPON,Microbial Typing Ontology,https://data.bioontology.org/ontologies/TYPON/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
TEST-M4M20-PAV,test-m4m20-subjects-pav,https://data.bioontology.org/ontologies/TEST-M4M20-PAV/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
NEUDIGS,Neuroscience Domain Insight Graph,https://data.bioontology.org/ontologies/NEUDIGS/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
NCRO,Non-coding RNA Ontology,https://data.bioontology.org/ontologies/NCRO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
OPDE,OPD-Ethiopia,https://data.bioontology.org/ontologies/OPDE/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
OPDT,opd_test,https://data.bioontology.org/ontologies/OPDT/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
NCOD,NCoD,https://data.bioontology.org/ontologies/NCOD/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
LC-MEDIA,Library of Congress Media Types Scheme,https://data.bioontology.org/ontologies/LC-MEDIA/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
RNPRIO,Research Network and Patient Registry Inventory Ontology,https://data.bioontology.org/ontologies/RNPRIO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
CTCAE,Common Terminology Criteria for Adverse Events,https://data.bioontology.org/ontologies/CTCAE/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
NND_ND,NND_Neuropathological_Diagnosis,https://data.bioontology.org/ontologies/NND_ND/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ISO19115ID,ISO 19115 Identification Information,https://data.bioontology.org/ontologies/ISO19115ID/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
RDO,Reusable Biodiversity Ontology,https://data.bioontology.org/ontologies/RDO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
TESTEX,test1,https://data.bioontology.org/ontologies/TESTEX/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
AHSO,Animal Health Surveillance Ontology,https://data.bioontology.org/ontologies/AHSO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
CLO,Cell Line Ontology,https://data.bioontology.org/ontologies/CLO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ADO,Alzheimer's Disease Ontology,https://data.bioontology.org/ontologies/ADO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
IMOBO,Intelligent Medicine oriented Biobank Ontology,https://data.bioontology.org/ontologies/IMOBO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
WIKIPATHWAYS,WikiPathways,https://data.bioontology.org/ontologies/WIKIPATHWAYS/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
SOPHARM,Suggested Ontology for Pharmacogenomics,https://data.bioontology.org/ontologies/SOPHARM/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
PLANTSO,Plant Stress Ontology,https://data.bioontology.org/ontologies/PLANTSO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
RAO,Rheumatoid Arthritis ontology,https://data.bioontology.org/ontologies/RAO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
COVIDCRFRAPID,WHO COVID-19 Rapid Version CRF semantic data model,https://data.bioontology.org/ontologies/COVIDCRFRAPID/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
OGROUP,Orthologous Group Ontology,https://data.bioontology.org/ontologies/OGROUP/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
COKPME,COKPME - COVID19 Ontology for analyzing the Karnataka Private Medical Establishments Data  ,https://data.bioontology.org/ontologies/COKPME/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ECG,Electrocardiography Ontology,https://data.bioontology.org/ontologies/ECG/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ODHT,Digital Health Technologies,https://data.bioontology.org/ontologies/ODHT/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ISO19115PR,ISO 19115 Codelists,https://data.bioontology.org/ontologies/ISO19115PR/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
PGXO,PGxO,https://data.bioontology.org/ontologies/PGXO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
TOP-MENELAS,Menelas Project Top-Level Ontology,https://data.bioontology.org/ontologies/TOP-MENELAS/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
TM-SIGNS-AND-SYMPTS,Traditional Medicine Signs and Symptoms Value Set,https://data.bioontology.org/ontologies/TM-SIGNS-AND-SYMPTS/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ICF,"International Classification of Functioning, Disability and Health",https://data.bioontology.org/ontologies/ICF/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
VODANANIGERIA,VODANANIGERIA,https://data.bioontology.org/ontologies/VODANANIGERIA/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
PHARE,Pharmacogenomic Relationships Ontology,https://data.bioontology.org/ontologies/PHARE/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
INFRARISK,InfraRisk Ontology,https://data.bioontology.org/ontologies/INFRARISK/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
HRA,Human Reference Atlas,https://data.bioontology.org/ontologies/HRA/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
WC,Whole-cell modeling ontology,https://data.bioontology.org/ontologies/WC/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
VVMM,In Vivo Methodologies Ontology for MAATrica metric,https://data.bioontology.org/ontologies/VVMM/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
GAMUTS,Radiology Gamuts Ontology,https://data.bioontology.org/ontologies/GAMUTS/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
SYMP,Symptom Ontology,https://data.bioontology.org/ontologies/SYMP/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
OAE,Ontology of Adverse Events,https://data.bioontology.org/ontologies/OAE/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ECOSIM,ecosim ontology,https://data.bioontology.org/ontologies/ECOSIM/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
AURA,KB_Bio_101,https://data.bioontology.org/ontologies/AURA/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
FRMO,Fall Risk Management Ontology ,https://data.bioontology.org/ontologies/FRMO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
LABO,clinical LABoratory Ontology,https://data.bioontology.org/ontologies/LABO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
MSO,Multiple sclerosis ontology,https://data.bioontology.org/ontologies/MSO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
OMP,Ontology of Microbial Phenotypes,https://data.bioontology.org/ontologies/OMP/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
PLIO,Protein-ligand interaction ontology,https://data.bioontology.org/ontologies/PLIO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
FLYGLYCODB,FlyGlycoDB,https://data.bioontology.org/ontologies/FLYGLYCODB/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
LDBASE,LDbase,https://data.bioontology.org/ontologies/LDBASE/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ADMIN,Nurse Administrator,https://data.bioontology.org/ontologies/ADMIN/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
NCBITAXON,National Center for Biotechnology Information (NCBI) Organismal Classification,https://data.bioontology.org/ontologies/NCBITAXON/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
ERO,Eagle-I Research Resource Ontology,https://data.bioontology.org/ontologies/ERO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
CCTOO,Cancer Care: Treatment Outcome Ontology,https://data.bioontology.org/ontologies/CCTOO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
AISM,Ontology for the Anatomy of the Insect SkeletoMuscular system,https://data.bioontology.org/ontologies/AISM/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
HIVHPVSTOM,HIVHPVStom,https://data.bioontology.org/ontologies/HIVHPVSTOM/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
BIRNLEX,Biomedical Informatics Research Network Project Lexicon,https://data.bioontology.org/ontologies/BIRNLEX/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
RCD,"Read Codes, Clinical Terms Version 3 (CTV3) ",https://data.bioontology.org/ontologies/RCD/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
FPLX,FamPlex,https://data.bioontology.org/ontologies/FPLX/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
EPSO,Epilepsy and Seizure Ontology,https://data.bioontology.org/ontologies/EPSO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
EPIE,Epigenetic Entity,https://data.bioontology.org/ontologies/EPIE/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
EPIP,Epigenetic Process,https://data.bioontology.org/ontologies/EPIP/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
EPIO,EpilepsyOntology,https://data.bioontology.org/ontologies/EPIO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
LAND-SURFACE,Land Surface classifiers,https://data.bioontology.org/ontologies/LAND-SURFACE/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
PANDA,Probabilistic Knowledge Assembly Ontology,https://data.bioontology.org/ontologies/PANDA/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
SWO,Software Ontology,https://data.bioontology.org/ontologies/SWO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
PSDS,Plant Structure Development Stage,https://data.bioontology.org/ontologies/PSDS/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
PSDO,Performance Summary Display Ontology,https://data.bioontology.org/ontologies/PSDO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
OA,Web Annotation Ontology,https://data.bioontology.org/ontologies/OA/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
OF,OntoFood,https://data.bioontology.org/ontologies/OF/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
OM,Ontology of units of Measure,https://data.bioontology.org/ontologies/OM/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
NND_CH,NND_Clinical_history,https://data.bioontology.org/ontologies/NND_CH/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
DSIP,Pharmacy mock data,https://data.bioontology.org/ontologies/DSIP/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
TMO,Translational Medicine Ontology,https://data.bioontology.org/ontologies/TMO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
LCDGT,Library of Congress Demographic Group Terms,https://data.bioontology.org/ontologies/LCDGT/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
SUGARBIND,SugarBind,https://data.bioontology.org/ontologies/SUGARBIND/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
OMV,Ontology Metadata Vocabulary,https://data.bioontology.org/ontologies/OMV/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
SSN,Semantic Sensor Network Ontology,https://data.bioontology.org/ontologies/SSN/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
DTO,Drug Target Ontology,https://data.bioontology.org/ontologies/DTO/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
CEPH,Cephalopod Ontology,https://data.bioontology.org/ontologies/CEPH/download?apikey=9ed4bd82-2693-427d-b060-c77751af765f&format=rdf
