,F1-M Unique and persistent ID,F2a-M - Metadata availability via standard primary sources,A1.2 Authentication & HTTPS support,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,R1.1_score,R1.2_score,R1.3-M Metadata are described with VoID/DCAT predicates
F1A_score,0.3795273854199124,,0.14121642211724061,,0.14857952335514596,0.1622740339585032,0.14365605810911047,0.14550906192017846,
F1B_score,0.1102998607546935,,0.15147388532102524,,0.06837739550812731,0.14654671579309586,0.5338696968264305,0.6468446125872429,
F2A_score,0.24149948349594796,,0.007090851323713851,,0.015261745105756994,0.05782546012352448,0.1709023900786753,0.19304636863602742,
F2B_score,0.2066933737699847,,0.015436390309167162,,0.04724837659770047,0.0570154241084226,0.17143883712241476,0.1702422199620407,
A1.2_score,0.18671753687048728,,0.13928775534331087,,0.06251417451377889,0.1852417974528235,0.9999999999999969,0.7224392563743987,
I1_score,0.24149948349594796,,0.007090851323713851,,0.015261745105756994,0.05782546012352448,0.1709023900786753,0.19304636863602742,
I2_score,0.2066933737699847,,0.015436390309167162,,0.04724837659770047,0.0570154241084226,0.17143883712241476,0.1702422199620407,
I3_score,0.16954097183619538,,0.11430518740536853,,0.0500453370669359,0.1535735865641284,0.6975177625866614,0.7561474390303331,
R1.1_score,0.18671753687048728,,0.13928775534331087,,0.06251417451377889,0.1852417974528235,0.9999999999999969,0.7224392563743987,
R1.2_score,0.15630827695843305,,0.11960576939999973,,0.05270572889188357,0.11538555163628171,0.7224392563743987,0.999999999999995,
R1.3_score,0.2066933737699847,,0.015436390309167162,,0.04724837659770047,0.0570154241084226,0.17143883712241476,0.1702422199620407,
