title,id,url
Cognitive Paradigm Ontology,bioportal-cogpo,https://bioportal.bioontology.org/ontologies/COGPO
Cancer Research and Management ACGT Master Ontology,bioportal-acgt,https://bioportal.bioontology.org/ontologies/ACGT
Adverse Event Reporting ontology,bioportal-aero,https://bioportal.bioontology.org/ontologies/AERO
BioAssay Ontology,bioportal-bao,https://bioportal.bioontology.org/ontologies/BAO
Bone Dysplasia Ontology,bioportal-bdo,https://bioportal.bioontology.org/ontologies/BDO
Basic Formal Ontology,bioportal-bfo,https://bioportal.bioontology.org/ontologies/BFO
BIRNLex,bioportal-birnlex,https://bioportal.bioontology.org/ontologies/BIRNLEX
Cancer Chemoprevention Ontology,bioportal-canco,https://bioportal.bioontology.org/ontologies/CANCO
CAO,bioportal-cao,https://bioportal.bioontology.org/ontologies/CAO
Chemical Information Ontology,bioportal-cheminf,https://bioportal.bioontology.org/ontologies/CHEMINF
Cell Line ontology,bioportal-clo,https://bioportal.bioontology.org/ontologies/CL
"CRISP Thesaurus, 2006",bioportal-csp,https://bioportal.bioontology.org/ontologies/CRISP
Ontology for Drug Discovery Investigations,bioportal-ddi,https://bioportal.bioontology.org/ontologies/DDI
Electrocardiography Ontology,bioportal-ecg,https://bioportal.bioontology.org/ontologies/ECG
Experimental Factor Ontology,bioportal-efo,https://bioportal.bioontology.org/ontologies/EFO
Cardiac Electrophysiology Ontology,bioportal-ep,https://bioportal.bioontology.org/ontologies/EP
eagle-i research resource ontology,bioportal-ero,https://bioportal.bioontology.org/ontologies/ERO
Influenza Ontology,bioportal-flu,https://bioportal.bioontology.org/ontologies/FLU
General Formal Ontology:Biology,bioportal-gfo,https://bioportal.bioontology.org/ontologies/GFO
Health Level Seven,bioportal-hl7,https://bioportal.bioontology.org/ontologies/HL7
Host Pathogen Interactions Ontology,bioportal-hpio,https://bioportal.bioontology.org/ontologies/HPIO
Information Artifact Ontology,bioportal-iao,https://bioportal.bioontology.org/ontologies/IAO
Infectious Disease Ontology,bioportal-ido,https://bioportal.bioontology.org/ontologies/IDO
Brucellosis Ontology,bioportal-idobru,https://bioportal.bioontology.org/ontologies/IDOBRU
Malaria Ontology,bioportal-idomal,https://bioportal.bioontology.org/ontologies/IDOMAL
Interaction Network Ontology,bioportal-ino,https://bioportal.bioontology.org/ontologies/INO
Logical Observation Identifier Names and Codes,bioportal-lnc,https://bioportal.bioontology.org/ontologies/INC
MESH Thesaurus (OWL version),bioportal-mesh-owl,
Mental Functioning Ontology,bioportal-mf,https://bioportal.bioontology.org/ontologies/MF
Emotion Ontology,bioportal-mfoem,https://bioportal.bioontology.org/ontologies/MFOEM
Mosquito insecticide resistance,bioportal-miro,https://bioportal.bioontology.org/ontologies/MIRO
Medical Subject Headings,bioportal-msh,https://bioportal.bioontology.org/ontologies/MESH
NCI Thesaurus,bioportal-ncit,not found
Neural ElectroMagnetic Ontologies,bioportal-nemo_x1,not found
Neomark Oral Cancer Ontology,bioportal-neomark,https://bioportal.bioontology.org/ontologies/NEOMARK3  https://bioportal.bioontology.org/ontologies/NEOMARK4
NIFSTD,bioportal-nif,https://bioportal.bioontology.org/ontologies/NIFSTD
NIF Cell,bioportal-nif_cell,https://bioportal.bioontology.org/ontologies/NIFCELL
NIF Dysfunction,bioportal-nif_dysfunction,https://bioportal.bioontology.org/ontologies/NIFDYS
NMR-instrument specific component of metabolomics investigations,bioportal-nmr,https://old.datahub.io/zh_TW/dataset/bioportal-nmr
NanoParticle Ontology,bioportal-npo,https://bioportal.bioontology.org/ontologies/NPO
Ontology of Adverse Events (OAE),bioportal-oae,https://bioportal.bioontology.org/ontologies/OAE
Ontology for Biomedical Investigations,bioportal-obi,https://bioportal.bioontology.org/ontologies/OBI
Ontology of Clinical Research (OCRe),bioportal-ocre,not found
Ontology for disease genetic investigation,bioportal-odgi,https://bioportal.bioontology.org/ontologies/OGDI
Ontology for Genetic Interval,bioportal-ogi,https://bioportal.bioontology.org/ontologies/OGI
Ontology for General Medical Science,bioportal-ogms,https://bioportal.bioontology.org/ontologies/OGMS
Ontology of Medically Related Social Entities,bioportal-omrse,
Ontology of Data Mining,bioportal-ontodm,
Ontology of General Purpose Datatypes,bioportal-ontodt,https://bioportal.bioontology.org/ontologies/ONTODT
Ontology for Parasite LifeCycle,bioportal-opl,https://bioportal.bioontology.org/ontologies/OPL
Phenotypic quality,bioportal-pato,https://bioportal.bioontology.org/ontologies/PATO
"Read Codes, Clinical Terms Version 3 (CTV3)",bioportal-rcd,https://bioportal.bioontology.org/ontologies/RCD
RadLex,bioportal-rid,https://bioportal.bioontology.org/ontologies/RADLEX
RNA ontology,bioportal-rnao,https://bioportal.bioontology.org/ontologies/RNAO
Subcellular Anatomy Ontology (SAO),bioportal-sao,https://bioportal.bioontology.org/ontologies/SAO
Sleep Domain Ontology,bioportal-sdo,https://bioportal.bioontology.org/ontologies/SDO
SemanticScience Integrated Ontology,bioportal-sio,https://bioportal.bioontology.org/ontologies/SIO
SNOMED Clinical Terms,bioportal-snomedct,
Suggested Ontology for Pharmacogenomics,bioportal-sopharm,https://bioportal.bioontology.org/ontologies/SOPHARM
Software Ontology,bioportal-swo,Software Ontology
Time Event Ontology,bioportal-teo,https://bioportal.bioontology.org/ontologies/TEO
Translational Medicine Ontology,bioportal-tmo,Translational Medicine Ontology
Vaccine Ontology,bioportal-vo,https://bioportal.bioontology.org/ontologies/VO
Sequence types and features,bioportal-so_x1,https://bioportal.bioontology.org/ontologies/SO
Amino Acid,bioportal-amino-acid,https://bioportal.bioontology.org/ontologies/AMINO-ACID
Gene Regulation Ontology,bioportal-bootstrep,https://bioportal.bioontology.org/ontologies/GRO
Cell Cycle Ontology,bioportal-cco,https://bioportal.bioontology.org/ontologies/CCO
Comparative Data Analysis Ontology,bioportal-cdao,https://bioportal.bioontology.org/ontologies/CDAO
Chemical entities of biological interest,bioportal-chebi,https://bioportal.bioontology.org/ontologies/CHEBI
Gene Ontology Extension,bioportal-go_x1,https://bioportal.bioontology.org/ontologies/GO-EXT
Gene Ontology,bioportal-go_x2,https://bioportal.bioontology.org/ontologies/GO
Gene Regulation Ontology,bioportal-gro_x2,https://bioportal.bioontology.org/ontologies/GRO
IMGT-ONTOLOGY,bioportal-imgt,https://bioportal.bioontology.org/ontologies/IMGT-ONTOLOGY
Multiple alignment,bioportal-mao,
Cell line ontology,bioportal-mccl_x1,https://bioportal.bioontology.org/ontologies/CLO
MeGO,bioportal-mego,https://bioportal.bioontology.org/ontologies/MEGO
Protein-protein interaction,bioportal-mi,
MGED Ontology,bioportal-mo,https://bioportal.bioontology.org/ontologies/MO
Protein modification,bioportal-mod,https://bioportal.bioontology.org/ontologies/PSIMOD
National Drug Data File,bioportal-nddf,https://bioportal.bioontology.org/ontologies/NDDF
National Drug File,bioportal-ndfrt,https://bioportal.bioontology.org/ontologies/NDFRT
Parasite Experiment Ontology,bioportal-peo,https://bioportal.bioontology.org/ontologies/PEO
PHARE,bioportal-phare,https://bioportal.bioontology.org/ontologies/PHARE
RxNORM,bioportal-rxnorm,https://bioportal.bioontology.org/ontologies/RXNORM
Systems Biology,bioportal-sbo,https://bioportal.bioontology.org/ontologies/SBO
SNP-Ontology,bioportal-snpo,https://bioportal.bioontology.org/ontologies/SNPO
VANDF,bioportal-vandf,https://bioportal.bioontology.org/ontologies/VANDF
African Traditional Medicine,bioportal-atmo,
Human disease ontology,bioportal-doid,https://bioportal.bioontology.org/ontologies/DOID
"Human developmental anatomy, timed version",bioportal-ehda,https://bioportal.bioontology.org/ontologies/EHDA
MIxS Controlled Vocabularies,bioportal-mcv,https://bioportal.bioontology.org/ontologies/MIXSCV
Natural Products Ontology,bioportal-natpro,https://bioportal.bioontology.org/ontologies/NATPRO
PMA 2010,bioportal-pma,
Rat Strain Ontology,bioportal-rs,https://bioportal.bioontology.org/ontologies/RS
TCGA Roadmap,tcga-roadmap,
DBpedia,dbpedia,
LinkedCT,linkedct,
BioPAX,bioportal-bp,https://bioportal.bioontology.org/ontologies/BP
Systems Chemical Biology/Chemogenomics,bioportal-chem2bio2owl,https://bioportal.bioontology.org/ontologies/CHEMBIO
DIKB-Evidence-Ontology,bioportal-dikb-evidence,DIKB-Evidence-Ontology
Event (INOH pathway ontology),bioportal-iev,https://old.datahub.io/dataset/bioportal-iev
Molecule role (INOH Protein name/family name ontology),bioportal-imr,http://linkeddatacatalog.dws.informatik.uni-mannheim.de/id/dataset/bioportal-imr
SysMO-JERM,bioportal-jerm,https://old.datahub.io/dataset/bioportal-jerm
MedDRA,bioportal-mdr,https://bioportal.bioontology.org/ontologies/MEDDRA
Mass spectrometry,bioportal-ms,https://bioportal.bioontology.org/ontologies/MS
Physician Data Query,bioportal-pdq,https://bioportal.bioontology.org/ontologies/PDQ
PRotein Ontology (PRO),bioportal-pr,https://bioportal.bioontology.org/ontologies/PR
Physico-chemical process,bioportal-rex,https://bioportal.bioontology.org/ontologies/REX
