,F1-M Unique and persistent ID,F2a-M - Metadata availability via standard primary sources,A1.2 Authentication & HTTPS support,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,R1.1_score,R1.2_score,R1.3-M Metadata are described with VoID/DCAT predicates
F1A_score,0.3854020837144284,,0.12532213645856333,,0.15050633717108133,0.14956235071123422,0.14365605810911047,0.14550906192017846,
F1B_score,0.12036029787412046,,0.1232065748173507,,0.07336095798102227,0.11783529272396367,0.5338696968264305,0.6468446125872429,
F2A_score,0.244422112754636,,-0.002633022886543216,,0.015733772990376246,0.05617100730971594,0.1709023900786753,0.19304636863602742,
F2B_score,0.20774019121436937,,0.02266450676269039,,0.04747179942509086,0.07011435510065334,0.17143883712241476,0.1702422199620407,
A1.2_score,0.19928720272109535,,0.11224454685493382,,0.06654626008154185,0.16796651802458656,0.9999999999999969,0.7224392563743987,
I1_score,0.244422112754636,,-0.002633022886543216,,0.015733772990376246,0.05617100730971594,0.1709023900786753,0.19304636863602742,
I2_score,0.20774019121436937,,0.02266450676269039,,0.04747179942509086,0.07011435510065334,0.17143883712241476,0.1702422199620407,
I3_score,0.17831776489554388,,0.09038900166473773,,0.05260310618072091,0.13738318402587313,0.6975177625866614,0.7561474390303331,
R1.1_score,0.19928720272109535,,0.11224454685493382,,0.06654626008154185,0.16796651802458656,0.9999999999999969,0.7224392563743987,
R1.2_score,0.16516082987173508,,0.09496351601061906,,0.055534031719290944,0.09042811233316525,0.7224392563743987,0.999999999999995,
R1.3_score,0.20774019121436937,,0.02266450676269039,,0.04747179942509086,0.07011435510065334,0.17143883712241476,0.1702422199620407,
