,F1-M Unique and persistent ID,F2a-M - Metadata availability via standard primary sources,A1.2 Authentication & HTTPS support,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,R1.1_score,R1.2_score,R1.3-M Metadata are described with VoID/DCAT predicates
F1A_score,0.3795273854199125,,0.14121642211724164,,0.14857952335514873,0.16227403395850326,0.14365605810911086,0.14550906192017912,
F1B_score,0.1115434953607383,,0.13954538266811903,,0.06263648045886702,0.13491490625909439,0.5413431389519112,0.6413465085239577,
F2A_score,0.24149948349594666,,0.00709085132371404,,0.015261745105757778,0.05782546012352465,0.1709023900786748,0.19304636863602695,
F2B_score,0.23343075572577512,,0.0020735831771213505,,0.02522093377975411,0.05121909066528666,0.17412250034298732,0.19005728891678117,
A1.2_score,0.18671753687048726,,0.13928775534331056,,0.06251417451378026,0.18524179745282426,1.0,0.7224392563743992,
I1_score,0.24149948349594666,,0.00709085132371404,,0.015261745105757778,0.05782546012352465,0.1709023900786748,0.19304636863602695,
I2_score,0.23343075572577512,,0.0020735831771213505,,0.02522093377975411,0.05121909066528666,0.17412250034298732,0.19005728891678117,
I3_score,0.16954097183619485,,0.1143051874053674,,0.050045337066936105,0.15357358656412678,0.6975177625866646,0.756147439030332,
R1.1_score,0.18671753687048726,,0.13928775534331056,,0.06251417451378026,0.18524179745282426,1.0,0.7224392563743992,
R1.2_score,0.1563082769584335,,0.11960576939999995,,0.052705728891883206,0.11538555163628152,0.7224392563743992,0.9999999999999998,
R1.3_score,0.23343075572577512,,0.0020735831771213505,,0.02522093377975411,0.05121909066528666,0.17412250034298732,0.19005728891678117,
