title,id,keywords,description,url,sub classification,owl link,License URL,Record Count,,,,,,,,url
Unwarranted Clinical Variation Analysis With Contextual Factors,UCVA,"Biomedical, Vocabularies",Standardizes clinical variation analysis factors.,https://bioportal.bioontology.org/ontologies/UCVA,,,,,,,,,,,,https://data.bioontology.org/ontologies/UCVA
JS Ontology,JSO,Not listed,No description available.,https://bioportal.bioontology.org/ontologies/JSO,,,,,,,,,,,,https://data.bioontology.org/ontologies/JSO
MInimal Requirements for Automated Provenance Information Enrichment in biomedical research,MIRAPIE,Not listed,No description available.,https://bioportal.bioontology.org/ontologies/MIRAPIE,,,,,,,,,,,,https://data.bioontology.org/ontologies/MIRAPIE
Context and Provenance Based Standardized Patient Generated Health Data Shared with an Electronic Health Record,PGHDPROV,Not listed,No description available.,https://bioportal.bioontology.org/ontologies/PGHDPROV,,,,,,,,,,,,https://data.bioontology.org/ontologies/PGHDPROV
Knowledge Object Implementation Ontology,KOIO,Not listed,No description available.,https://bioportal.bioontology.org/ontologies/KOIO,,,,,,,,,,,,https://data.bioontology.org/ontologies/KOIO
RADx Data Hub Ontology,DATAHUB,Data Management,A metadata model for data repositories.,https://bioportal.bioontology.org/ontologies/DATAHUB,,,,,,,,,,,,https://data.bioontology.org/ontologies/DATAHUB
Pathogen-related Informed Consent Ontology,PICO,Clinical Research,"Framework for clinical questions (Population, Intervention, Comparison, Outcome).",https://bioportal.bioontology.org/ontologies/PICO,,,,,,,,,,,,https://data.bioontology.org/ontologies/PICO
Charlotte,GENEVIEVE,Not listed,No description available.,https://bioportal.bioontology.org/ontologies/GENEVIEVE,,,,,,,,,,,,https://data.bioontology.org/ontologies/GENEVIEVE
Data Collection Ontology,GDCO,Not listed,No description available.,https://bioportal.bioontology.org/ontologies/GDCO,,,,,,,,,,,,https://data.bioontology.org/ontologies/GDCO
Friend of a Friend Vocabulary,FOAF,Semantic Web,Describes people and relationships.,https://bioportal.bioontology.org/ontologies/FOAF,,,,,,,,,,,,https://data.bioontology.org/ontologies/FOAF
Medaka Developmental Stages,OLATDV,Not listed,No description available.,https://bioportal.bioontology.org/ontologies/OLATDV,,,,,,,,,,,,https://data.bioontology.org/ontologies/OLATDV
Traditional Medicine Other Factors Value Set,TM-OTHER-FACTORS,Not listed,No description available.,https://bioportal.bioontology.org/ontologies/TM-OTHER-FACTORS,,,,,,,,,,,,https://data.bioontology.org/ontologies/TM-OTHER-FACTORS
