,F1-M Unique and persistent ID,F2a-M - Metadata availability via standard primary sources,A1.2 Authentication & HTTPS support,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,R1.1_score,R1.2_score,R1.3-M Metadata are described with VoID/DCAT predicates
F1A_score,0.3854020837144283,,0.125322136458564,,0.15050633717108367,0.14956235071123428,0.14365605810911086,0.14550906192017912,
F1B_score,0.12044231459261434,,0.11245450276480191,,0.06667560384174295,0.10744109662250745,0.5413431389519112,0.6413465085239577,
F2A_score,0.24442211275463638,,-0.0026330228865428435,,0.015733772990376278,0.056171007309716595,0.1709023900786748,0.19304636863602695,
F2B_score,0.23510614760443793,,0.00512758825009925,,0.025448119702989026,0.061566769064209124,0.17412250034298732,0.19005728891678117,
A1.2_score,0.1992872027210948,,0.11224454685493483,,0.066546260081544,0.16796651802458537,1.0,0.7224392563743992,
I1_score,0.24442211275463638,,-0.0026330228865428435,,0.015733772990376278,0.056171007309716595,0.1709023900786748,0.19304636863602695,
I2_score,0.23510614760443793,,0.00512758825009925,,0.025448119702989026,0.061566769064209124,0.17412250034298732,0.19005728891678117,
I3_score,0.1783177648955437,,0.09038900166473944,,0.05260310618072218,0.13738318402587218,0.6975177625866646,0.756147439030332,
R1.1_score,0.1992872027210948,,0.11224454685493483,,0.066546260081544,0.16796651802458537,1.0,0.7224392563743992,
R1.2_score,0.1651608298717349,,0.09496351601061831,,0.055534031719293456,0.0904281123331665,0.7224392563743992,0.9999999999999998,
R1.3_score,0.23510614760443793,,0.00512758825009925,,0.025448119702989026,0.061566769064209124,0.17412250034298732,0.19005728891678117,
