title,id,Keywords,sescription,URL,sub classification,owl link
Drug Indications (Drug Engineering with AI),,,The computer brain versus the human brain for drug design,https://www.kaggle.com/datasets/deepakdeepu8978/drug-indications-drug-engineering-with-ai,,
Fatal COVID-19: Gene Data🦠🦠🦠,,,Insights into Immune Responses in Lung and Colon Tissues.,https://www.kaggle.com/datasets/vijayveersingh/fatal-covid-19-gene-data,,
Hindi Health Dataset,,,HHD Corpus worthy for NLP tasks,https://www.kaggle.com/datasets/aijain/hindi-health-dataset,,
SNMI disease vocabulary-json,,,A json vocabulary generated from SNOMED International (UMLS License),https://www.kaggle.com/datasets/arnebalzer/snmi-disease-vocabularyjson,,
The Human Phenotype Ontology,,,Data From The Human Phenotype Ontology Consortium,https://www.kaggle.com/datasets/tavoglc/the-human-phenotype-ontology,,
GRCh38 Human Genome (DNA),,,Human DNA genome for each chromosome ,https://www.kaggle.com/datasets/aliabedimadiseh/grch38-human-genome-dna,,
CORD-19 Knowledge Graph,,,Taken from UIUC webpage http://blender.cs.illinois.edu/covid19/,https://www.kaggle.com/datasets/yitongtseo/cord19-named-entities,,
Breast Cancer Gene Expression Profiles (METABRIC),,,"Clinical attributes, m-RNA levels z-score, and genes mutations for 1904 patients",https://www.kaggle.com/datasets/raghadalharbi/breast-cancer-gene-expression-profiles-metabric,,
Food Recognition 2022,,,This is a benchmark dataset used for finding best models for detecting food.,https://www.kaggle.com/datasets/sainikhileshreddy/food-recognition-2022,,
COVID19 ext-metadata(statements/NER/UMLS catTree),,,Mapping abstracts & key sentences into the Unified Medical Language System ,https://www.kaggle.com/datasets/koljabailly/covid19-extmetadatastatementsnerumls-cattree,,
Good Ways Model - Pure Ontology QA,,,A Pure Ontological Framework converted in the form of Questions & Answers.,https://www.kaggle.com/datasets/korompilias/good-ways-model-pure-ontology-qa,,
COVID-19 recovery stage by single-cell sequencing,,,A k-mer derived Dataset,https://www.kaggle.com/datasets/tavoglc/covid19-recovery-stage-by-singlecell-sequencing,,
 SARS-CoV-1/2 infected human cell lines,,,A k-mer derived Dataset,https://www.kaggle.com/datasets/tavoglc/sarscov12-infected-human-cell-lines,,
hospital-price-transparency,,,prices that are easy to compare,https://www.kaggle.com/datasets/natesutton/hospitalpricetransparency,,
