title,id,keywords,description,url,Sub classification,owl link,License URL,Estimated Classes,lov_page
Cyber physical Watch Ontology,CPSWatch,['IoT'],This ontology defines a vocabulary for describing cyber physical systems for monitoring purpose. It contains two main concepts: CPSWatch#MonitoredSystem that is a top level description of a System that is modeled and CPSWatch#MonitoringSensor that is a top level description of a sensor used to monitor the CPSWatch#MonitoredSystem.,https://w3id.org/CPSWatch,,,https://creativecommons.org/licenses/by/4.0/,85,https://lov.linkeddata.es/dataset/lov/vocabs/CPSWatch
IIoT Ontology,IIoT,"['IoT', 'Industry']","The Internet of Things taxonomy is extended with semantic ontologies for IoT layers, containing classes, properties, individuals, and rules specific to IoT technologies, tools, and applications",https://w3id.org/IIoT,,https://ontoit.github.io/IIoT/IIoT.ttl,https://www.apache.org/licenses/LICENSE-2.0,120,https://lov.linkeddata.es/dataset/lov/vocabs/IIoT
Semantic Actuator Networks Ontology,SAN,"['Support', 'IoT']","This ontology is intended to describe Semantic Actuator Networks, as a counterpoint to SSN definition of Semantic Sensor Networks. An actuator is a physical device having an effect on the world (see Actuator for more information).

It is worth noticing that some concepts are imported from SSN, but not SSN as a whole. This is a design choice intended to separate as much as possible the definition on actuator from the definition of sensor, which are completely different concept that can be used independantly from each other.

This ontology is used as a ontological module in IoT-O ontology.",http://www.irit.fr/recherches/MELODI/ontologies/SAN,,,(Research use only),65,https://lov.linkeddata.es/dataset/lov/vocabs/SAN
ARCO Location Module,a-loc,['Geography'],"The module Location models information related to the localization and georeferencing of a cultural property.
In this module are used as template the following Ontology Design Patterns:
- http://www.ontologydesignpatterns.org/cp/owl/collectionentity.owl
- http://www.ontologydesignpatterns.org/cp/owl/classification.owl
- http://www.ontologydesignpatterns.org/cp/owl/place.owl
- http://www.ontologydesignpatterns.org/cp/owl/timeindexedsituation.owl
- http://www.ontologydesignpatterns.org/cp/owl/situation.owl",https://w3id.org/arco/ontology/location,,,https://creativecommons.org/licenses/by/4.0/,42,https://lov.linkeddata.es/dataset/lov/vocabs/a-loc
aerOS Building Ontology,a4bdg,['IoT'],Ontology that defines the conceptual model for the Pilot 5 - Smart Building use case,https://w3id.org/aerOS/building,,,https://opensource.org/licenses/MIT,38,https://lov.linkeddata.es/dataset/lov/vocabs/a4bdg
Audubon Core Terms,ac,"['Environment', 'Metadata']",This term list includes all currently valid terms that have been defined in the core Audubon Core namespace ac:.,http://rs.tdwg.org/ac/terms/,,,https://creativecommons.org/publicdomain/zero/1.0/,60,https://lov.linkeddata.es/dataset/lov/vocabs/ac
Accommodation Ontology,acco,['eBusiness'],"A vocabulary for the description of hotels, vacation homes, camping sites, and other accommodation offers for e-commerce",http://purl.org/acco/ns,,,(No license declared),25,https://lov.linkeddata.es/dataset/lov/vocabs/acco
Web Access Control Ontology,acl,['API'],"Defines the element of Authorization and its essential properties,     and also some classes of access such as read and write.",http://www.w3.org/ns/auth/acl,,,https://www.w3.org/Consortium/Legal/2015/doc-license,15,https://lov.linkeddata.es/dataset/lov/vocabs/acl
ACM Computing Classification Ontology,acm,['Catalogs'],This ontology is a representation of The ACM Computing Classification System [1998],http://www.rkbexplorer.com/ontologies/acm,,,(No license declared),200,https://lov.linkeddata.es/dataset/lov/vocabs/acm
Certification Ontology,acrt,['Quality'],"This document specifies a vocabulary for asserting the existence of official endorsements or certifications of agents, such as people and organizations.",http://privatealpha.com/ontology/certification/1#,,http://privatealpha.com/ontology/certification/1.n3,(No license declared),20,https://lov.linkeddata.es/dataset/lov/vocabs/acrt
