title,id,keywords,description,url,Sub classification,owl link
Assembly,,,"Download a genome data package including genome, transcript and protein sequence, annotation and a data report",https://www.ncbi.nlm.nih.gov/assembly,,
Basic Local Alignment Search Tool (BLAST),,,The Basic Local Alignment Search Tool (BLAST) finds regions of local similarity between sequences. The program compares nucleotide or protein sequences to sequence databases and calculates the statistical significance of matches. BLAST can be used to infer functional and evolutionary relationships between sequences as well as help identify members of gene families.,https://blast.ncbi.nlm.nih.gov,,
Batch Entrez,,,"Given a file of Entrez accession numbers or other
										identifiers, Batch Entrez downloads
										the corresponding records.",https://www.ncbi.nlm.nih.gov/sites/batchentrez,,
BioCollections,,,Warning:The NCBI web site requires JavaScript to function.more...,https://www.ncbi.nlm.nih.gov/biocollections,,
BioProject (formerly Genome Project),,,"A BioProject is a collection of biological data related to a single initiative, originating from a single organization or from a consortium. A BioProject record provides users a single place to find links to the diverse data types generated for that project",https://www.ncbi.nlm.nih.gov/bioproject,,
BioProject Submission,,,An official website of the United States government,https://submit.ncbi.nlm.nih.gov/subs/bioproject/,,
BioSample,,,Warning:The NCBI web site requires JavaScript to function.more...,https://www.ncbi.nlm.nih.gov/biosample,,
BLAST (Stand-alone),,,An official website of the United States government,https://blast.ncbi.nlm.nih.gov/Blast.cgi?CMD=Web&PAGE_TYPE=BlastDocs&DOC_TYPE=Download,,
BLAST Microbial Genomes,,,An official website of the United States government,https://blast.ncbi.nlm.nih.gov/Blast.cgi?PAGE_TYPE=BlastSearch&PROG_DEF=blastn&BLAST_PROG_DEF=megaBlast&SHOW_DEFAULTS=on&BLAST_SPEC=MicrobialGenomes,,
BLAST RefSeqGene,,,Error: 500 Server Error: Internal Server Error,https://blast.ncbi.nlm.nih.gov/Blast.cgi?PROGRAM=blastn&BLAST_PROGRAMS=megaBlast&PAGE_TYPE=BlastSearch&SHOW_DEFAULTS=on&BLAST_SPEC=RefseqGene,,
BLAST Tutorials and Guides,,,An official website of the United States government,https://blast.ncbi.nlm.nih.gov/Blast.cgi?CMD=Web&PAGE_TYPE=BlastDocs,,
Bookshelf,,,An official website of the United States government,https://www.ncbi.nlm.nih.gov/books,,
Comparative Genome Viewer (CGV),,,CGV allows you to compare two genomes based on assembly-assembly alignments provided by NCBI.,https://www.ncbi.nlm.nih.gov/genome/cgv/,,
ClincialTrials.gov,,,Study record managers: refer to theData Element Definitionsif submitting registration or results information.,https://clinicaltrials.gov/,,
ClinVar,,,ClinVar archives and aggregates information about relationships among variation and human health.,https://www.ncbi.nlm.nih.gov/clinvar,,
ClinVar Submissions,,,ClinVar archives and aggregates information about relationships among variation and human health.,https://www.ncbi.nlm.nih.gov/clinvar/docs/submit/,,
Cn3D,,,"Cn3D ('see in 3-D') is a structure
and sequence alignment viewer for NCBI databases that allows viewing of 3-D
structures along with sequence and structure alignments.",https://www.ncbi.nlm.nih.gov/Structure/CN3D/cn3d.shtml,,
COBALT,,,An official website of the United States government,https://www.ncbi.nlm.nih.gov/tools/cobalt/re_cobalt.cgi,,
Coffee Break,,,Error: 403 Client Error: Forbidden,https://www.ncbi.nlm.nih.gov/books/NBK2345,,
Computational Resources from NCBI's Structure Group,,,No description found,https://www.ncbi.nlm.nih.gov/Structure/,,
Consensus CDS (CCDS),,,The CCDS database identifies a core set of human protein coding regions that are consistently annotated by multiple public resources and pass quality tests.,https://www.ncbi.nlm.nih.gov/projects/CCDS/CcdsBrowse.cgi,,
Conserved Domain Architecture Retrieval Tool (CDART),,,Search for Similar Architectures,https://www.ncbi.nlm.nih.gov/Structure/lexington/lexington.cgi?cmd=rps,,
Conserved Domain Database (CDD),,,Warning:The NCBI web site requires JavaScript to function.more...,https://www.ncbi.nlm.nih.gov/cdd,,
Conserved Domain Search Service (CD Search),,,"NCBI's Conserved Domain Database (CDD) is now available as a preview version, providing protein 
    domain family models and corresponding RPS-BLAST search databases that are not yet part of a versioned public release. Find more details
    on theCDD News Pageif 
    you want to scan protein or nucleotide query sequences against theNCBI_Previewset.",https://www.ncbi.nlm.nih.gov/Structure/cdd/wrpsb.cgi,,
Database of Genomic Structural Variation (dbVar),,,"dbVar is a database of large scale genomic variants. dbVar includes events such as insertions, deletions and inversions. dbVar is an archival database that will store submitter data, providing a stable identifier for all submitter defined variant regions and for all instances supporting a given variant.",https://www.ncbi.nlm.nih.gov/dbvar,,
Database of Genotype and Phenotype (dbGaP) Data Submission Policies,,,Error: 404 Client Error: Not Found,https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/about.cgi,,
Database of Genotypes and Phenotypes (dbGaP),,,Warning:The NCBI web site requires JavaScript to function.more...,https://www.ncbi.nlm.nih.gov/gap,,
Database of Short Genetic Variations (dbSNP),,,"dbSNP is a public-domain archive for human single nucleotide variations, microsatellites, and small-scale insertions and deletions along with publication, population frequency, molecular consequence, and genomic and RefSeq mapping information for both common variations and clinical mutations.",https://www.ncbi.nlm.nih.gov/snp,,
E-Utilities,,,Error: 404 Client Error: Not Found,https://www.ncbi.nlm.nih.gov/books/NBK25501/ ,,
Ebot,,,"NCBI's outreach activities include educational events (such as workshops, webinars, and codeathons) and participation in scientific conferences. The NCBI Outreach events site lists our activities by date and provides you a way to apply for or register to attend these activities. For each past educational event, we provide a link for access to relevant materials.",https://www.ncbi.nlm.nih.gov/Class/PowerTools/eutils/ebot/ebot.cgi,,
FTP: BLAST Databases,,,No description found,https://ftp.ncbi.nlm.nih.gov/blast/db/,,
FTP: CDD,,,No description found,https://ftp.ncbi.nlm.nih.gov/pub/mmdb/cdd/,,
FTP: ClinVar Data,,,No description found,https://ftp.ncbi.nlm.nih.gov/pub/clinvar,,
FTP: dbGAP Open-Access Data,,,No description found,https://ftp.ncbi.nlm.nih.gov/dbgap,,
FTP: FASTA BLAST Databases,,,No description found,https://ftp.ncbi.nlm.nih.gov/blast/db/FASTA,,
FTP: GenBank,,,Warning:The NCBI web site requires JavaScript to function.more...,https://www.ncbi.nlm.nih.gov/genbank/GenBankFtp.html,,
FTP: Gene,,,No description found,https://ftp.ncbi.nlm.nih.gov/gene/,,
FTP: Gene Expression Omnibus (GEO) Profiles and Datasets,,,No description found,https://ftp.ncbi.nlm.nih.gov/pub/geo/,,
FTP: Genome,,,No description found,https://ftp.ncbi.nlm.nih.gov/genomes/,,
FTP: Genome Mapping Data,,,No description found,https://ftp.ncbi.nlm.nih.gov/genomes/MapView,,
FTP: GenPept,,,No description found,https://ftp.ncbi.nlm.nih.gov/ncbi-asn1/protein_fasta/,,
FTP: NCBI Taxonomy,,,No description found,https://ftp.ncbi.nlm.nih.gov/pub/taxonomy/,,
FTP: PubChem,,,No description found,https://ftp.ncbi.nlm.nih.gov/pubchem/,,
FTP: RefSeq,,,No description found,https://ftp.ncbi.nlm.nih.gov/refseq/release/,,
FTP: Sequence Read Archive (SRA) Download Facility,,,NCBI Sequence Read Archive,https://www.ncbi.nlm.nih.gov/Traces/sra/sra.cgi?cmd=show&f=faspftp_runs_v1&m=downloads&s=download_sra,,
FTP: Site,,,No description found,https://www.ncbi.nlm.nih.gov/Ftp/,,
FTP: SKY/M-Fish and CGH Data,,,No description found,https://ftp.ncbi.nlm.nih.gov/sky-cgh/,,
FTP: SNP,,,No description found,https://ftp.ncbi.nlm.nih.gov/snp/,,
FTP: Structure (MMDB),,,No description found,https://ftp.ncbi.nlm.nih.gov/mmdb/,,
FTP: Trace Archive,,,No description found,https://ftp.ncbi.nlm.nih.gov/pub/TraceDB,,
FTP: UniVec,,,No description found,https://ftp.ncbi.nlm.nih.gov/pub/UniVec/,,
FTP: Whole Genome Shotgun Sequences,,,No description found,https://ftp.ncbi.nlm.nih.gov/genbank/wgs,,
GenBank,,,Warning:The NCBI web site requires JavaScript to function.more...,https://www.ncbi.nlm.nih.gov/genbank/,,
GenBank: BankIt,,,Log in or register to submit or view previous submissions,https://www.ncbi.nlm.nih.gov/WebSub/?tool=genbank,,
GenBank: Barcode,,,Log in or register to submit or view previous submissions,https://www.ncbi.nlm.nih.gov/WebSub/index.cgi?tool=barcode,,
GenBank: Sequin,,,Error: 404 Client Error: Not Found,https://www.ncbi.nlm.nih.gov/projects/Sequin,,
GenBank: tbl2asn,,,Warning:The NCBI web site requires JavaScript to function.more...,https://www.ncbi.nlm.nih.gov/genbank/tbl2asn2.html,,
Gene,,,"A portal to gene-specific content based on NCBI's RefSeq project, information from model organism databases, and links to other resources.&lt;br />",https://www.ncbi.nlm.nih.gov/gene,,
Gene Expression Omnibus (GEO) BLAST,,,No description found,https://www.ncbi.nlm.nih.gov/geo/query/blast.html,,
Gene Expression Omnibus (GEO) Database,,,"Gene Expression Omnibus (GEO) is a database repository of high throughput      gene expression data and hybridization arrays, chips, microarrays.",https://www.ncbi.nlm.nih.gov/geo/,,
Gene Expression Omnibus (GEO) Datasets,,,Warning:The NCBI web site requires JavaScript to function.more...,https://www.ncbi.nlm.nih.gov/gds,,
Gene Expression Omnibus (GEO) Profiles,,,Warning:The NCBI web site requires JavaScript to function.more...,https://www.ncbi.nlm.nih.gov/geoprofiles/,,
Gene Expression Omnibus (GEO) Web Deposit,,,"Gene Expression Omnibus (GEO) is a database repository of high throughput  gene expression data and hybridization arrays, chips, microarrays.",https://www.ncbi.nlm.nih.gov/projects/geo/info/submission.html,,
GeneReviews,,,Error: 403 Client Error: Forbidden,https://www.ncbi.nlm.nih.gov/books/NBK1116/,,
GeneRIF,,,Warning:The NCBI web site requires JavaScript to function.more...,https://www.ncbi.nlm.nih.gov/gene/about-generif,,
Genes and Disease,,,Error: 403 Client Error: Forbidden,https://www.ncbi.nlm.nih.gov/books/NBK22183/,,
Genetic Codes,,,The NCBI Taxonomy database is a curated set of names and classifications for all of the organisms that are represented in GenBank.,https://www.ncbi.nlm.nih.gov/Taxonomy/taxonomyhome.html/index.cgi?chapter=cgencodes,,
Genetic Testing Registry (GTR),,,"Centralized resource for clinical geneticists, genetic counselors and other healthcare professionals to find clinical and research, molecular, cytogenetic, biochemical and serology tests for human health and Mendelian disorders, pharmacogenetic drug responses, somatic phenotypes, complex conditions and infectious diseases like COVID-19. There is information about the disease, genes and links to practice guidelines and authoritative resources like GeneReviews, PubMed, MedlinePlus, PharmGKB to support the clinician's informed test selection.",https://www.ncbi.nlm.nih.gov/gtr/,,
Genetic Testing Registry (GTR) Submissions,,,Warning:The NCBI web site requires JavaScript to function.more...,https://www.ncbi.nlm.nih.gov/gtr/docs/submit/,,
Genome,,,"Download a genome data package including genome, transcript and protein sequence, annotation and a data report",https://www.ncbi.nlm.nih.gov/genome,,
