title,id,keywords,description,url,Sub classification,owl link,Working link,License URL,Record Count
Minimum Information for A Phylogenetic Analysis (MIAPA) Ontology,miapa,,"The MIAPA ontology is intended to be an application ontology for the purpose of semantic annotation of phylogenetic data according to the requirements and recommendations of the Minimum Information for A Phylogenetic Analysis (MIAPA) metadata reporting standard. The ontology leverages (imports) primarily from the CDAO (Comparative Data Analysis Ontology), PROV (W3C Provenance Ontology), and SWO (Software Ontology, which includes the EDAM ontologies) ontologies. It adds some assertions of its own, as well as some classes and individuals that may eventually get pushed down into one of the respective source ontologies.

This ontology is maintained at http://github.com/miapa/miapa, and requests for changes or additions should be filed at the issue tracker there. The discussion list is at miapa-discuss@googlegroups.com. Further resources about MIAPA can be found at the project's main page at http://evoio.org/wiki/MIAPA.",https://www.ebi.ac.uk/ols4/ontologies/miapa,,,http://www.evoio.org/wiki/MIAPA,,
Measurement method ontology,mmo,,A representation of the variety of methods used to make clinical and phenotype measurements. ,https://www.ebi.ac.uk/ols4/ontologies/mmo,,http://purl.obolibrary.org/obo/mmo/2.153/mmo.owl,https://rgd.mcw.edu/rgdweb/ontology/view.html?acc_id=MMO:0000000,,
Mouse Developmental Stages,mmusdv,,Life cycle stages for Mus Musculus,https://www.ebi.ac.uk/ols4/ontologies/mmusdv,,http://purl.obolibrary.org/obo/life-stages/releases/2025-01-23/components/mmusdv.owl,https://github.com/obophenotype/developmental-stage-ontologies/wiki/MmusDv,,
Protein modification,mod,,PSI-MOD is an ontology consisting of terms that describe protein chemical modifications,https://www.ebi.ac.uk/ols4/ontologies/mod,,http://purl.obolibrary.org/obo/mod/1.031.6/mod.owl,http://www.psidev.info/MOD,,
Mondo Disease Ontology,mondo,,A semi-automatically constructed ontology that merges in multiple disease resources to yield a coherent merged ontology.,https://www.ebi.ac.uk/ols4/ontologies/mondo,,http://purl.obolibrary.org/obo/mondo/releases/2025-06-03/mondo-international.owl,https://monarch-initiative.github.io/mondo,,
MOP,mop,,"MOP is the molecular process ontology. It contains the molecular processes that underlie the name reaction ontology RXNO, for example cyclization, methylation and demethylation.",https://www.ebi.ac.uk/ols4/ontologies/mop,,http://purl.obolibrary.org/obo/mop/releases/2022-05-11/mop.owl,https://github.com/rsc-ontologies/rxno,,
The Mammalian Phenotype Ontology,mp,,"The Mammalian Phenotype Ontology is being developed by Cynthia L. Smith, Susan M. Bello, Anna, Anagnostopoulos, Carroll W. Goldsmith and Janan T. Eppig, as part of the Mouse Genome Database (MGD) Project, Mouse Genome Informatics (MGI), The Jackson Laboratory, Bar Harbor, ME. This file contains pre-coordinated phenotype terms, definitions and synonyms that can be used to describe mammalian phenotypes. The ontology is represented as a directed acyclic graph (DAG). It organizes phenotype terms into major biological system headers such as nervous system and respiratory system.  This ontology is currently under development. Weekly updates are available at the Mouse Genome Informatics (MGI) ftp site (ftp://ftp.informatics.jax.org/pub/reports/index.html#pheno) as well as the OBO Foundry site (http://obofoundry.org/). Japanese labels of MP were created by the MP Japanese Translation Project (https://github.com/dbcls/MP_Japanse). Questions, comments and suggestions are welcome, and should be directed to pheno@jax.org, Susan.Bello@jax.org or to GitHub tracker (https://github.com/mgijax/mammalian-phenotype-ontology/issues) MGD is funded by NIH/NHGRI grant HG000330.",https://www.ebi.ac.uk/ols4/ontologies/mp,,http://purl.obolibrary.org/obo/mp/releases/2025-01-30/mp-international.owl,https://www.informatics.jax.org/vocab/mp_ontology/,,
Mouse pathology ontology,mpath,,A structured controlled vocabulary of mutant and transgenic mouse pathology phenotypes,https://www.ebi.ac.uk/ols4/ontologies/mpath,,http://purl.obolibrary.org/obo/mpath/2020-05-19/mpath.owl,http://www.pathbase.net,,
Minimum PDDI Information Ontology,mpio,,An ontology of minimum information regarding potential drug-drug interaction information.,https://www.ebi.ac.uk/ols4/ontologies/mpio,,http://purl.obolibrary.org/obo/mpio/release/2023-10-17/mpio.owl,https://github.com/MPIO-Developers/MPIO,,
MHC Restriction Ontology,mro,,"The MHC Restriction Ontology is an application ontology capturing how Major Histocompatibility Complex (MHC) restriction is defined in experiments, spanning exact protein complexes, individual protein chains, serotypes, haplotypes and mutant molecules, as well as evidence for MHC restrictions.",https://www.ebi.ac.uk/ols4/ontologies/mro,,http://purl.obolibrary.org/obo/mro/2025-05-23/mro.owl,https://github.com/IEDB/MRO,,
Mass spectrometry ontology,ms,,A structured controlled vocabulary for the annotation of experiments concerned with proteomics mass spectrometry.,https://www.ebi.ac.uk/ols4/ontologies/ms,,http://purl.obolibrary.org/obo/ms/4.1.193/ms.owl,http://www.psidev.info/groups/controlled-vocabularies,,
Neuro Behavior Ontology,nbo,,An ontology of human and animal behaviours and behavioural phenotypes,https://www.ebi.ac.uk/ols4/ontologies/nbo,,http://purl.obolibrary.org/obo/nbo/releases/2023-07-04/nbo.owl,https://github.com/obo-behavior/behavior-ontology/,,
NCBI organismal classification,ncbitaxon,,An ontology representation of the NCBI organismal taxonomy,https://www.ebi.ac.uk/ols4/ontologies/ncbitaxon,,http://purl.obolibrary.org/obo/ncbitaxon/2025-03-13/ncbitaxon.owl,https://github.com/obophenotype/ncbitaxon,,
NCI Thesaurus OBO Edition,ncit,,"NCI Thesaurus (NCIt)is a reference terminology that includes broad coverage of the cancer domain, including cancer related diseases, findings and abnormalities. The NCIt OBO Edition aims to increase integration of the NCIt with OBO Library ontologies. NCIt OBO Edition releases should be considered experimental.",https://www.ebi.ac.uk/ols4/ontologies/ncit,,http://purl.obolibrary.org/obo/ncit/releases/2024-05-07/ncit.owl,https://github.com/NCI-Thesaurus/thesaurus-obo-edition,,
Non-Coding RNA Ontology,ncro,,"An ontology for non-coding RNA, both of biological origin, and engineered.",https://www.ebi.ac.uk/ols4/ontologies/ncro,,http://purl.obolibrary.org/obo/ncro/2015-12-10/ncro-combined.owl,http://omnisearch.soc.southalabama.edu/w/index.php/Ontology,,
 Next generation biobanking ontology(NGBO).,ngbo,," Next Generation Biobanking Ontology (NGBO) is an open application ontology representing contextual data about omics digital assets in biobank. The ontology focuses on capturing the information about three main activities: wet bench analysis used to generate omics data, bioinformatics analysis used to analyze and interpret data, and data management.",https://www.ebi.ac.uk/ols4/ontologies/ngbo,,http://purl.obolibrary.org/obo/ngbo/2024-08-27/ngbo.owl,https://github.com/Dalalghamdi/NGBO,,
NOMEN - A nomenclatural ontology for biological names,nomen,,NOMEN is a nomenclatural ontology for biological names (not concepts).  It encodes the goverened rules of nomenclature.,https://www.ebi.ac.uk/ols4/ontologies/nomen,,,https://github.com/SpeciesFileGroup/nomen,,
OAE: Ontology of Adverse Events,oae,,"The Ontology of Adverse Eventsy (OAE) is a biomedical ontology in the domain of adverse events. OAE aims to standardize adverse event annotation, integrate various adverse event data, and support computer-assisted reasoning.  OAE is a community-based ontology. Its development follows the OBO Foundry principles. Vaccine adverse events have been used as an initial testing use case. OAE also studies adverse events associated with the administration of drug and nutritional products, the operation of surgeries, and the usage of medical devices, etc.",https://www.ebi.ac.uk/ols4/ontologies/oae,,,https://github.com/OAE-ontology/OAE/,,
Ontology of Arthropod Circulatory Systems,oarcs,,OArCS is an ontology describing the Arthropod ciruclatory system.,https://www.ebi.ac.uk/ols4/ontologies/oarcs,,http://purl.obolibrary.org/obo/hao/2019-04-18/hao.owl,https://github.com/aszool/oarcs,,
Ontology of Biological Attributes (OBA),oba,,A collection of biological attributes (traits) covering all kingdoms of life. Interoperable with VT (vertebrate trait ontology) and TO (plant trait ontology). Extends PATO.,https://www.ebi.ac.uk/ols4/ontologies/oba,,http://purl.obolibrary.org/obo/oba/releases/2025-03-28/oba.owl,https://github.com/obophenotype/bio-attribute-ontology,,
OBCS: Ontology of Biological and Clinical Statistics,obcs,,"OBCS stands for the Ontology of Biological and Clinical Statistics. OBCS is an ontology in the domain of biological and clinical statistics. It is aligned with the Basic Formal Ontology (BFO) and the Ontology for Biomedical Investigations (OBI). OBCS imports all possible biostatistics terms in OBI and includes many additional biostatistics terms, some of which were proposed and discussed in the OBI face-to-face workshop in Ann Arbor in 2012.  ",https://www.ebi.ac.uk/ols4/ontologies/obcs,,http://purl.obolibrary.org/obo/obcs/2023-12-08/obcs.owl,https://github.com/obcs/obcs,,
Ontology for Biomedical Investigations,obi,,"An ontology for representing biomedical investigations, including study designs, the collection and preparation of the targets of investigation, assays, instrumentation and reagents used, as well as the data generated and the types of analysis performed on the data to reach conclusions, and their documentation.",https://www.ebi.ac.uk/ols4/ontologies/obi,,http://purl.obolibrary.org/obo/obi/2025-05-01/obi.owl,http://obi-ontology.org,,
Ontology for BIoBanking (OBIB),obib,,"The Ontology for Biobanking (OBIB) is an ontology for the annotation and modeling of the activities, contents, and administration of a biobank. Biobanks are facilities that store specimens, such as bodily fluids and tissues, typically along with specimen annotation and clinical data. OBIB is based on a subset of the Ontology for Biomedical Investigation (OBI), has the Basic Formal Ontology (BFO) as its upper ontology, and is developed following OBO Foundry principles. The first version of OBIB resulted from the merging of two existing biobank-related ontologies, OMIABIS and biobank ontology.",https://www.ebi.ac.uk/ols4/ontologies/obib,,http://purl.obolibrary.org/obo/obib/2023-04-05/obib.owl,https://github.com/biobanking/biobanking,,
Occupation Ontology (OccO),occo,,This Occupaton Ontology (OccO) is an ontology in the domain of human occupaitons. Current OccO version is developed based on the US Bureau of Labor Statistics Standard Occupation Classification (SOC) and the related O*Net System. The OccO development follows the principles of the Open Biological and Biomedical (OBO) Foundry.,https://www.ebi.ac.uk/ols4/ontologies/occo,,http://purl.obolibrary.org/obo/occo/releases/2024-04-28/occo.owl,https://github.com/Occupation-Ontology/OccO,,
OGG: Ontology of Genes and Genomes,ogg,,"OGG is a biological ontology in the area of genes and genomes. OGG uses the Basic Formal Ontology (BFO) as its upper level ontology. This OGG document contains the genes and genomes of a list of selected organisms, including human, two viruses (HIV and influenza virus), and bacteria (B. melitensis strain 16M, E. coli strain K-12 substrain MG1655, M. tuberculosis strain H37Rv, and P. aeruginosa strain PAO1). More OGG information for other organisms (e.g., mouse, zebrafish, fruit fly, yeast, etc.) may be found in other OGG subsets. ",https://www.ebi.ac.uk/ols4/ontologies/ogg,,,https://bitbucket.org/hegroup/ogg,,
Ontology for General Medical Science,ogms,,"The Ontology for General Medical Science (OGMS) is an ontology of entities involved in a clinical encounter. OGMS includes very general terms that are used across medical disciplines, including: 'disease', 'disorder', 'disease course', 'diagnosis', 'patient', and 'healthcare provider'. OGMS uses the Basic Formal Ontology (BFO) as an upper-level ontology. The scope of OGMS is restricted to humans, but many terms can be applied to a variety of organisms. OGMS provides a formal theory of disease that can be further elaborated by specific disease ontologies. This theory is implemented using OWL-DL and OBO Relation Ontology relations and is available in OWL and OBO formats.

OGMS is based on the papers Toward an Ontological Treatment of Disease and Diagnosis and On Carcinomas and Other Pathological Entities. The ontology attempts to address some of the issues raised at the Workshop on Ontology of Diseases (Dallas, TX) and the Signs, Symptoms, and Findings Workshop(Milan, Italy). OGMS was formerly called the clinical phenotype ontology. Terms from OGMS hang from the Basic Formal Ontology.",https://www.ebi.ac.uk/ols4/ontologies/ogms,,http://purl.obolibrary.org/obo/ogms/2021-08-19/ogms.owl,https://github.com/OGMS/ogms,,
Oral Health and Disease Ontology,ohd,,The Oral Health and Disease Ontology is used for representing the diagnosis and treatment of dental maladies.,https://www.ebi.ac.uk/ols4/ontologies/ohd,,http://purl.obolibrary.org/obo/ohd/releases/2024-06-21/ohd.owl,https://purl.obolibrary.org/obo/ohd/home,,
OHMI: Ontology of Host-Microbiome Interactions,ohmi,,OHMI is a biomedical ontology that represents the entities and relations in the domain of host-microbiome interactions.,https://www.ebi.ac.uk/ols4/ontologies/ohmi,,http://purl.obolibrary.org/obo/ohmi/2019-09-17/ohmi.owl,https://github.com/ohmi-ontology/ohmi,,
OHPI: Ontology of Host-Pathogen Interactions,ohpi,,"OHPI is a biomedical ontology in the area of host-pathogen interactions. OHPI is developed by following the OBO Foundry Principles (e.g., openness and collaboration).",https://www.ebi.ac.uk/ols4/ontologies/ohpi,,http://purl.obolibrary.org/obo/ohpi/releases/2019-09-30,https://github.com/OHPI/ohpi,,
Ontology for MIRNA Target,omit,,Ontology to establish data exchange standards and common data elements in the microRNA (miR) domain,https://www.ebi.ac.uk/ols4/ontologies/omit,,http://purl.obolibrary.org/obo/omit/dev/omit.owl,http://omit.cis.usouthal.edu/,,
OBO Metadata Ontology,omo,,An ontology specifies terms that are used to annotate ontology terms for all OBO ontologies. The ontology was developed as part of Information Artifact Ontology (IAO).,https://www.ebi.ac.uk/ols4/ontologies/omo,,http://purl.obolibrary.org/obo/omo/releases/2024-11-13/omo.owl,https://github.com/information-artifact-ontology/ontology-metadata,,
Ontology of Microbial Phenotypes,omp,,An ontology of phenotypes covering microbes,https://www.ebi.ac.uk/ols4/ontologies/omp,,http://purl.obolibrary.org/obo/omp/releases/2024-03-25/omp.owl,http://microbialphenotypes.org,,
Ontology for Modeling and Representation of Social Entities,omrse,,"The Ontology for Modeling and Representation of Social Entities (OMRSE) is an OBO Foundry ontology that represents the various entities that arise from human social interactions, such as social acts, social roles, social groups, and organizations.",https://www.ebi.ac.uk/ols4/ontologies/omrse,,http://purl.obolibrary.org/obo/omrse/releases/2025-03-26/omrse.owl,https://github.com/mcwdsi/OMRSE/wiki/OMRSE-Overview,,
Ontology for Nutritional Epidemiology,one,,An ontology to standardize research output of nutritional epidemiologic studies.,https://www.ebi.ac.uk/ols4/ontologies/one,,,https://github.com/cyang0128/Nutritional-epidemiologic-ontologies,,
Ontology for Nutritional Studies,ons,,An ontology for description of concepts in the nutritional studies domain.,https://www.ebi.ac.uk/ols4/ontologies/ons,,https://raw.githubusercontent.com/enpadasi/Ontology-for-Nutritional-Studies/releases/download/v2024-07-03/ons.owl,https://github.com/enpadasi/Ontology-for-Nutritional-Studies,,
OntoAvida: ontology for Avida digital evolution platform.,ontoavida,,"The Ontology for Avida (OntoAvida) project aims to develop an integrated vocabulary for the description of the most widely used computational approach for performing experimental evolution using digital organisms (i.e., self-replicating computer programs that evolve within a user-defined computational environment).

The lack of a clearly defined vocabulary makes biologists feel reluctant to embrace the field of digital evolution. This unique ontology has the potential to change this picture overnight.

OntoAvida was initially developed by https://fortunalab.org, the computational biology lab at the Doñana Biological Station (a research institute of the Spanish National Research Council based at Seville, Spain). Contributors to OntoAvida are expected to include members of the Digital Evolution Laboratory (https://devolab.org/) at Michigan State University (USA).

More information can be found at https://obofoundry.org/ontology/ontoavida.html",https://www.ebi.ac.uk/ols4/ontologies/ontoavida,,http://purl.obolibrary.org/obo/ontoavida/releases/2022-03-15/ontoavida.owl,https://gitlab.com/fortunalab/ontoavida,,
Obstetric and Neonatal Ontology,ontoneo,,"The Obstetric and Neonatal Ontology is a structured controlled vocabulary to provide a representation of the data from electronic health records (EHRs) involved in the care of the pregnant woman, and of her baby.",https://www.ebi.ac.uk/ols4/ontologies/ontoneo,,http://purl.obolibrary.org/obo/ontoneo/releases/2025-03-14/ontoneo.owl,ontoneo.com,,
Ontology of Organizational Structures of Trauma centers and Trauma Systems,oostt,,The Ontology of Organizational Structures of Trauma centers and Trauma systems (OOSTT) is a representation of the components of trauma centers and trauma systems coded in Web Ontology Language (OWL2).,https://www.ebi.ac.uk/ols4/ontologies/oostt,,http://purl.obolibrary.org/obo/oostt/release/2025-01-24/oostt.owl,https://github.com/OOSTT/OOSTT,,
