FAIR_metric,KG_metric,n,paired_t_p,wilcoxon_p,pearson_r,spearman_r
f1a_score,f1,1314,,,0.9999999999999938,1.0
f1b_score,f1,1314,,7.14999656991605e-100,0.09838723249165146,0.10056648332965575
f2a_score,f2,1314,,,0.9999999999999966,1.0
f2b_score,f2,1314,,5.7243624267391174e-08,0.9403833648451851,0.9875396592073409
a1.1_score,a1.1,1314,,,1.0,1.0
a1.2_score,a1.2,1314,,,0.9999999999999971,1.0
i1_score,i1,1314,,,0.9999999999999966,1.0
i2_score,i2,1314,,,0.9999999999999961,0.9999999999999998
i3_score,i3,1314,,,1.0,1.0
r1.1_score,r1.1,1314,,,0.9999999999999971,1.0
r1.2_score,r1.2,1314,,,1.0,1.0
r1.3_score,r1.3,1314,,,0.9999999999999961,0.9999999999999998
