,F1-M Unique and persistent ID,F2a-M - Metadata availability via standard primary sources,A1.2 Authentication & HTTPS support,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,R1.1_score,R1.2_score,R1.3-M Metadata are described with VoID/DCAT predicates
F1A_score,0.3844968517732016,,0.12501423027376043,,0.15021128167370962,0.14922383742701417,0.14365605810911072,0.1455090619201791,
F1B_score,0.12038203868140308,,0.12321617871330727,,0.07336926030885807,0.11784530956149891,0.533869696826429,0.6468446125872447,
F2A_score,0.243472384196287,,-0.0028518481025300896,,0.015533598900603282,0.0558646460608131,0.17090239007867486,0.1930463686360268,
F2B_score,0.20706249496699933,,0.02246695648668347,,0.04728761356916582,0.06986893145172003,0.17143883712241495,0.1702422199620408,
A1.2_score,0.19930393295360632,,0.11225454505073697,,0.06655483633159934,0.167976121757203,1.0,0.7224392563743992,
I1_score,0.243472384196287,,-0.0028518481025300896,,0.015533598900603282,0.0558646460608131,0.17090239007867486,0.1930463686360268,
I2_score,0.20706249496699933,,0.02246695648668347,,0.04728761356916582,0.06986893145172003,0.17143883712241495,0.1702422199620408,
I3_score,0.17834154904418642,,0.09040126886451756,,0.0526134466238804,0.1373952057198979,0.6975177625866633,0.7561474390303327,
R1.1_score,0.19930393295360632,,0.11225454505073697,,0.06655483633159934,0.167976121757203,1.0,0.7224392563743992,
R1.2_score,0.1651842874154589,,0.09497525350961818,,0.05554395827167203,0.09044035102833112,0.7224392563743992,1.0,
R1.3_score,0.20706249496699933,,0.02246695648668347,,0.04728761356916582,0.06986893145172003,0.17143883712241495,0.1702422199620408,
